カテゴリ,物件名,住所,最寄りのアクセス_1,最寄りのアクセス_2,最寄りのアクセス_3,築年数,階数,階,家賃,管理費,敷金,礼金,間取,面積,URL
賃貸一戸建て,ＪＲ紀勢本線 黒江駅 平屋 新築,和歌山県和歌山市毛見,ＪＲ紀勢本線/黒江駅 歩34分,ＪＲ紀勢本線/冷水浦駅 歩68分,ＪＲ紀勢本線/海南駅 歩41分,新築,平屋,-,12万円,-,12万円,24万円,3LDK,97.7m2,https://suumo.jp/chintai/jnc_000085019455/?bc=100343956119
賃貸一戸建て,ＪＲ紀勢本線 黒江駅 平屋 新築,和歌山県和歌山市毛見,ＪＲ紀勢本線/黒江駅 歩34分,ＪＲ紀勢本線/海南駅 歩41分,ＪＲ紀勢本線/紀三井寺駅 歩42分,新築,平屋,-,12万円,-,12万円,24万円,3LDK,97.7m2,https://suumo.jp/chintai/jnc_000084861019/?bc=100343021099
賃貸マンション,シャルマンフジ和歌山市駅レジタージュ,和歌山県和歌山市湊紺屋町１,ＪＲ紀勢本線/和歌山市駅 歩5分,ＪＲ阪和線/和歌山駅 バス18分 (バス停)南海和歌山市駅 歩5分,ＪＲ紀勢本線/紀和駅 歩27分,新築,14階建,10階,15.2万円,18000円,30.4万円,30.4万円,2LDK,75.25m2,https://suumo.jp/chintai/jnc_000084302963/?bc=100339711236
賃貸一戸建て,ＪＲ阪和線 和歌山駅 2階建 築2年,和歌山県和歌山市加納,ＪＲ阪和線/和歌山駅 歩32分,ＪＲ阪和線/紀伊中ノ島駅 歩18分,ＪＲ阪和線/六十谷駅 歩33分,築2年,2階建,1-2階,12.3万円,-,12.3万円,24.6万円,3LDK,97.7m2,https://suumo.jp/chintai/jnc_000078844521/?bc=100319334547
賃貸一戸建て,ＪＲ紀勢本線 宮前駅 2階建 新築,和歌山県和歌山市西高松２,ＪＲ紀勢本線/宮前駅 歩36分,南海本線/和歌山市駅 歩49分,ＪＲ紀勢本線/紀三井寺駅 歩46分,新築,2階建,1-2階,13万円,-,13万円,26万円,3LDK,97.7m2,https://suumo.jp/chintai/jnc_000084949113/?bc=100343610593
賃貸アパート,グランシード関戸,和歌山県和歌山市関戸３,南海本線/和歌山市駅 バス18分 (バス停)秋葉山 歩10分,ＪＲ阪和線/和歌山駅 バス23分 (バス停)秋葉山 歩10分,ＪＲ紀勢本線/紀三井寺駅 歩38分,築26年,2階建,2階,4.5万円,3000円,-,-,3DK,54.43m2,https://suumo.jp/chintai/jnc_000084746964/?bc=100342398852
賃貸マンション,ビバリーヒル園部,和歌山県和歌山市園部,ＪＲ阪和線/六十谷駅 バス7分 (バス停)有功 歩10分,ＪＲ阪和線/六十谷駅 歩18分,南海本線/紀ノ川駅 歩48分,築33年,3階建,2階,5万円,3000円,-,-,3LDK,70.63m2,https://suumo.jp/chintai/jnc_000063005034/?bc=100178480142
賃貸アパート,グレース華,和歌山県和歌山市大谷,ＪＲ紀勢本線/和歌山市駅 バス11分 (バス停)楠見小学校前 歩4分,南海本線/紀ノ川駅 歩21分,ＪＲ阪和線/六十谷駅 歩38分,築26年,2階建,2階,4.6万円,4000円,-,-,2LDK,50.12m2,https://suumo.jp/chintai/jnc_000075028356/?bc=100336335524
賃貸アパート,グレース華,和歌山県和歌山市大谷,ＪＲ紀勢本線/和歌山市駅 バス11分 (バス停)楠見小学校前 歩4分,南海本線/紀ノ川駅 歩21分,ＪＲ阪和線/六十谷駅 歩38分,築26年,2階建,1階,4.6万円,4000円,-,-,2LDK,50.12m2,https://suumo.jp/chintai/jnc_000067554979/?bc=100336335517
賃貸アパート,グレース華,和歌山県和歌山市大谷,ＪＲ紀勢本線/和歌山市駅 バス11分 (バス停)楠見小学校前 歩4分,南海本線/紀ノ川駅 歩21分,ＪＲ阪和線/六十谷駅 歩38分,築26年,2階建,1階,4.6万円,4000円,-,-,2LDK,50.12m2,https://suumo.jp/chintai/jnc_000079759740/?bc=100333803056
賃貸マンション,ソレアード藤本,和歌山県和歌山市善明寺,ＪＲ阪和線/六十谷駅 バス12分 (バス停)楠見行者前 歩1分,南海本線/紀ノ川駅 歩25分,ＪＲ阪和線/六十谷駅 歩31分,築27年,5階建,2階,5万円,5000円,-,-,2LDK,60.9m2,https://suumo.jp/chintai/jnc_000079919543/?bc=100345913335
賃貸マンション,ソレアード藤本,和歌山県和歌山市善明寺,ＪＲ阪和線/六十谷駅 バス12分 (バス停)楠見行者前 歩1分,南海本線/紀ノ川駅 歩25分,ＪＲ阪和線/六十谷駅 歩31分,築27年,5階建,2階,5万円,5000円,-,-,3LDK,60.9m2,https://suumo.jp/chintai/jnc_000047092185/?bc=100313912651
賃貸マンション,ソレアード藤本,和歌山県和歌山市善明寺,ＪＲ阪和線/六十谷駅 バス12分 (バス停)楠見行者前 歩1分,南海本線/紀ノ川駅 歩25分,ＪＲ阪和線/六十谷駅 歩31分,築27年,5階建,4階,5万円,5000円,-,-,3LDK,60.9m2,https://suumo.jp/chintai/jnc_000056336637/?bc=100336454813
賃貸マンション,ルネみなと,和歌山県和歌山市湊,南海本線/和歌山市駅 バス11分 (バス停)花王橋 歩5分,南海和歌山港線/和歌山港駅 歩21分,ＪＲ紀勢本線/宮前駅 歩42分,築35年,3階建,1階,4.2万円,3000円,-,-,2LDK,56m2,https://suumo.jp/chintai/jnc_000081294819/?bc=100330670990
賃貸マンション,ルネみなと,和歌山県和歌山市湊,南海本線/和歌山市駅 バス11分 (バス停)花王橋 歩5分,南海和歌山港線/和歌山港駅 歩21分,ＪＲ紀勢本線/宮前駅 歩42分,築35年,3階建,3階,4.2万円,3000円,-,-,2LDK,56m2,https://suumo.jp/chintai/jnc_000080869596/?bc=100331111446
賃貸マンション,ルネみなと,和歌山県和歌山市湊,南海本線/和歌山市駅 バス11分 (バス停)花王橋 歩5分,南海和歌山港線/和歌山港駅 歩21分,ＪＲ紀勢本線/宮前駅 歩42分,築35年,3階建,2階,4.7万円,3000円,-,-,3LDK,61m2,https://suumo.jp/chintai/jnc_000081294820/?bc=100329683095
賃貸マンション,ルネみなと,和歌山県和歌山市湊,南海本線/和歌山市駅 バス11分 (バス停)花王橋 歩5分,南海和歌山港線/和歌山港駅 歩21分,ＪＲ紀勢本線/宮前駅 歩42分,築35年,3階建,3階,5万円,3000円,-,-,3LDK,61m2,https://suumo.jp/chintai/jnc_000083010306/?bc=100330783130
賃貸マンション,ルネみなと,和歌山県和歌山市湊,南海本線/和歌山市駅 バス11分 (バス停)花王橋 歩5分,南海和歌山港線/和歌山港駅 歩21分,ＪＲ紀勢本線/宮前駅 歩42分,築35年,3階建,1階,5万円,3000円,-,-,3LDK,61m2,https://suumo.jp/chintai/jnc_000083010305/?bc=100331026432
賃貸マンション,フィオーレＫ,和歌山県和歌山市船所,ＪＲ紀勢本線/和歌山市駅 バス11分 (バス停)土橋 歩3分,南海本線/紀ノ川駅 歩26分,ＪＲ阪和線/六十谷駅 歩39分,築25年,2階建,1-2階,4.5万円,3000円,-,-,3DK,66.87m2,https://suumo.jp/chintai/jnc_000084593358/?bc=100188748811
賃貸アパート,グリーンフル浜路,和歌山県和歌山市塩屋５,ＪＲ紀勢本線/和歌山市駅 バス21分 (バス停)塩屋 歩3分,ＪＲ阪和線/和歌山駅 バス22分 (バス停)塩屋 歩3分,ＪＲ紀勢本線/宮前駅 歩31分,築27年,2階建,1階,4.7万円,2000円,-,-,2LDK,51.03m2,https://suumo.jp/chintai/jnc_000078654616/?bc=100306865571
賃貸アパート,グリーンフル浜路,和歌山県和歌山市塩屋５,ＪＲ紀勢本線/和歌山市駅 バス21分 (バス停)塩屋 歩3分,ＪＲ阪和線/和歌山駅 バス22分 (バス停)塩屋 歩3分,ＪＲ紀勢本線/宮前駅 歩31分,築27年,2階建,2階,4.7万円,2000円,-,-,2LDK,51.03m2,https://suumo.jp/chintai/jnc_000078654617/?bc=100306865572
賃貸アパート,グリーンフル浜路,和歌山県和歌山市塩屋５,ＪＲ紀勢本線/和歌山市駅 バス21分 (バス停)塩屋 歩3分,ＪＲ阪和線/和歌山駅 バス22分 (バス停)塩屋 歩3分,ＪＲ紀勢本線/宮前駅 歩31分,築27年,2階建,2階,4.7万円,2000円,-,-,2LDK,51.03m2,https://suumo.jp/chintai/jnc_000079141780/?bc=100309797236
賃貸マンション,コーポ大勢,和歌山県和歌山市東小二里町,南海本線/和歌山市駅 バス10分 (バス停)高松 歩8分,ＪＲ紀勢本線/宮前駅 歩43分,ＪＲ阪和線/和歌山駅 歩56分,築29年,3階建,3階,5.7万円,3000円,-,5.7万円,3LDK,65.04m2,https://suumo.jp/chintai/jnc_000058975918/?bc=100338416227
賃貸アパート,オリーブハウス,和歌山県和歌山市湊御殿１,南海本線/和歌山市駅 バス10分 (バス停)舟津町 歩3分,南海和歌山港線/和歌山港駅 歩19分,ＪＲ紀勢本線/宮前駅 歩44分,築22年,2階建,1階,5.2万円,4000円,-,5.2万円,2LDK,59.62m2,https://suumo.jp/chintai/jnc_000069562476/?bc=100257286790
賃貸マンション,プレゼンス浜の宮,和歌山県和歌山市毛見,ＪＲ紀勢本線/紀三井寺駅 バス6分 (バス停)競技場前 歩2分,ＪＲ紀勢本線/海南駅 バス25分 (バス停)競技場前 歩2分,,築34年,4階建,3階,4.8万円,5000円,-,-,3LDK,72.88m2,https://suumo.jp/chintai/jnc_000085290816/?bc=100345748523
賃貸アパート,サンハイツII,和歌山県和歌山市栄谷,ＪＲ紀勢本線/和歌山市駅 バス13分 (バス停)次郎丸 歩6分,南海本線/紀ノ川駅 歩20分,南海加太線/東松江駅 歩28分,築28年,2階建,2階,4.2万円,3000円,-,-,3DK,48.56m2,https://suumo.jp/chintai/jnc_000058638871/?bc=100331157956
賃貸アパート,サンハイツII,和歌山県和歌山市栄谷,ＪＲ紀勢本線/和歌山市駅 バス13分 (バス停)次郎丸 歩6分,南海本線/紀ノ川駅 歩20分,南海加太線/東松江駅 歩28分,築28年,2階建,1階,4.2万円,3000円,-,-,3DK,48.48m2,https://suumo.jp/chintai/jnc_000081004524/?bc=100331157966
賃貸アパート,メゾン松ヶ丘,和歌山県和歌山市松ケ丘１,南海本線/和歌山市駅 バス16分 (バス停)高松 歩6分,ＪＲ紀勢本線/宮前駅 歩37分,ＪＲ阪和線/和歌山駅 バス21分 (バス停)高松 歩6分,築32年,2階建,1階,6.1万円,2000円,-,6.1万円,4LDK,76.14m2,https://suumo.jp/chintai/jnc_000085049865/?bc=100344135652
賃貸アパート,メゾン松ヶ丘,和歌山県和歌山市松ケ丘１,南海本線/和歌山市駅 バス16分 (バス停)高松 歩6分,ＪＲ紀勢本線/宮前駅 歩37分,ＪＲ阪和線/和歌山駅 バス21分 (バス停)高松 歩6分,築32年,2階建,2階,6.1万円,2000円,-,6.1万円,4LDK,76.14m2,https://suumo.jp/chintai/jnc_000080640456/?bc=100317942118
賃貸マンション,リアンハイム川永,和歌山県和歌山市楠本,ＪＲ阪和線/紀伊駅 バス4分 (バス停)川永団地 歩10分,ＪＲ和歌山線/布施屋駅 歩28分,ＪＲ和歌山線/千旦駅 歩40分,築44年,2階建,1階,4.5万円,-,4.5万円,4.5万円,4DK,64.8m2,https://suumo.jp/chintai/jnc_000071174730/?bc=100266254862
賃貸アパート,クラウンハイツ今福小学校前,和歌山県和歌山市今福３,南海本線/和歌山市駅 バス14分 (バス停)小二里 歩7分,ＪＲ紀勢本線/宮前駅 歩39分,南海和歌山港線/和歌山港駅 歩35分,築3年,2階建,2階,5.6万円,4000円,-,-,1LDK,36.85m2,https://suumo.jp/chintai/jnc_000068579434/?bc=100345882614
賃貸アパート,ディアス川畑,和歌山県和歌山市大谷,ＪＲ阪和線/六十谷駅 バス11分 (バス停)大谷東 歩2分,南海本線/紀ノ川駅 歩23分,ＪＲ紀勢本線/和歌山市駅 バス21分 (バス停)大谷東 歩2分,築30年,2階建,2階,4.7万円,3000円,-,-,2LDK,50.9m2,https://suumo.jp/chintai/jnc_000080510400/?bc=100345913336
賃貸アパート,シェトワ堀止西,和歌山県和歌山市堀止西１,南海本線/和歌山市駅 バス12分 (バス停)堀止 歩5分,ＪＲ阪和線/和歌山駅 バス19分 (バス停)堀止 歩5分,ＪＲ紀勢本線/宮前駅 歩29分,築27年,2階建,2階,5万円,4000円,5万円,5万円,3DK,46.8m2,https://suumo.jp/chintai/jnc_000079503532/?bc=100311734517
賃貸マンション,セジュール西浜,和歌山県和歌山市西浜,南海本線/和歌山市駅 バス10分 (バス停)西浜 歩4分,南海和歌山港線/和歌山港駅 歩38分,,築36年,2階建,1階,4.5万円,3000円,-,-,2LDK,51.65m2,https://suumo.jp/chintai/jnc_000083010299/?bc=100254966633
賃貸一戸建て,一戸建８８３２,和歌山県和歌山市西高松１,南海本線/和歌山市駅 バス11分 (バス停)高松 歩8分,ＪＲ紀勢本線/宮前駅 歩36分,南海和歌山港線/和歌山港駅 歩38分,築48年,2階建,1-2階,4万円,-,8万円,4万円,5DK,80.31m2,https://suumo.jp/chintai/jnc_000073512361/?bc=100278490754
賃貸アパート,南海本線 和歌山市駅 2階建 築15年,和歌山県和歌山市和歌浦西１,南海本線/和歌山市駅 バス14分 (バス停)和歌浦口 歩3分,ＪＲ紀勢本線/紀三井寺駅 歩31分,,築15年,2階建,1階,5.9万円,6500円,3万円,5万円,2LDK,58.75m2,https://suumo.jp/chintai/jnc_000084352614/?bc=100311321293
賃貸一戸建て,ＪＲ紀勢本線 宮前駅 2階建 築50年,和歌山県和歌山市西高松１,ＪＲ紀勢本線/宮前駅 歩31分,南海和歌山港線/和歌山港駅 歩38分,ＪＲ紀勢本線/和歌山市駅 歩42分,築50年,2階建,1-2階,18万円,-,-,54万円,3LDK,154m2,https://suumo.jp/chintai/jnc_000082571418/?bc=100333771781
賃貸マンション,リバーサイド養翠,和歌山県和歌山市西浜,ＪＲ阪和線/和歌山駅 バス37分 (バス停)養翠園前 歩5分,南海和歌山港線/和歌山港駅 歩43分,ＪＲ紀勢本線/紀三井寺駅 歩57分,築35年,2階建,1階,4.7万円,3000円,-,-,3DK,57.6m2,https://suumo.jp/chintai/jnc_000083028640/?bc=100331730407
賃貸アパート,Ｄ-ｒｏｏｍＹＡＭＡＴＯ,和歌山県和歌山市楠本,ＪＲ阪和線/紀伊駅 バス4分 (バス停)川永西口 歩5分,ＪＲ和歌山線/布施屋駅 歩37分,ＪＲ和歌山線/千旦駅 歩50分,築9年,2階建,2階,6.3万円,5000円,-,7万円,2LDK,60.81m2,https://suumo.jp/chintai/jnc_000084854248/?bc=100342982704
賃貸マンション,アメニティ土佐町,和歌山県和歌山市土佐町２,ＪＲ紀勢本線/和歌山市駅 バス8分 (バス停)築地橋 歩3分,ＪＲ阪和線/和歌山駅 バス16分 (バス停)築地橋 歩3分,南海本線/和歌山市駅 バス8分 (バス停)築地橋 歩3分,築22年,3階建,2階,6.5万円,6000円,-,-,3LDK,60.48m2,https://suumo.jp/chintai/jnc_000081315366/?bc=100340685658
賃貸マンション,セジュール西浜,和歌山県和歌山市西浜,南海本線/和歌山市駅 バス16分 (バス停)西浜 歩4分,ＪＲ阪和線/和歌山駅 バス32分 (バス停)西浜 歩4分,ＪＲ紀勢本線/宮前駅 歩56分,築36年,2階建,1階,4.2万円,3000円,-,-,2LDK,51.65m2,https://suumo.jp/chintai/jnc_000080766672/?bc=100318603917
賃貸アパート,リバーコンフォール,和歌山県和歌山市和歌川町,南海本線/和歌山市駅 バス20分 (バス停)和歌浦中央病院前 歩3分,ＪＲ紀勢本線/紀三井寺駅 歩24分,ＪＲ阪和線/和歌山駅 バス25分 (バス停)和歌浦中央病院前 歩3分,築27年,2階建,2階,5.2万円,3000円,6万円,6万円,3DK,49.41m2,https://suumo.jp/chintai/jnc_000074280757/?bc=100340674704
賃貸マンション,宝寿ビル,和歌山県和歌山市延時,ＪＲ紀勢本線/和歌山市駅 バス11分 (バス停)延時 歩1分,南海加太線/東松江駅 歩14分,南海本線/紀ノ川駅 歩31分,築33年,6階建,4階,4.5万円,5000円,-,-,3DK,55.59m2,https://suumo.jp/chintai/jnc_000055163951/?bc=100319991508
賃貸一戸建て,一戸建15526,和歌山県和歌山市西小二里３,ＪＲ紀勢本線/和歌山市駅 バス14分 (バス停)小二里 歩5分,南海和歌山港線/和歌山港駅 歩34分,ＪＲ紀勢本線/宮前駅 歩41分,築34年,2階建,1-2階,6.5万円,-,6.5万円,6.5万円,4LDK,90.25m2,https://suumo.jp/chintai/jnc_000083589758/?bc=100312631259
賃貸マンション,クラウンハイツ東高松,和歌山県和歌山市東高松４,南海本線/和歌山市駅 バス16分 (バス停)高松 歩7分,ＪＲ紀勢本線/宮前駅 歩29分,ＪＲ阪和線/和歌山駅 バス20分 (バス停)高松 歩7分,築41年,2階建,1階,5.5万円,5000円,-,-,3LDK,81.8m2,https://suumo.jp/chintai/jnc_000084235042/?bc=100339326168
賃貸マンション,クラウンハイツ東高松,和歌山県和歌山市東高松４,南海本線/和歌山市駅 バス16分 (バス停)高松 歩7分,ＪＲ紀勢本線/宮前駅 歩29分,ＪＲ阪和線/和歌山駅 バス20分 (バス停)高松 歩7分,築41年,2階建,2階,5.5万円,5000円,-,-,3LDK,81.79m2,https://suumo.jp/chintai/jnc_000084241562/?bc=100306490333
賃貸マンション,ニューハイツ舟津,和歌山県和歌山市舟津町４,南海本線/和歌山市駅 バス10分 (バス停)舟津町 歩2分,南海和歌山港線/和歌山港駅 歩19分,ＪＲ紀勢本線/宮前駅 歩44分,築40年,5階建,2階,3.9万円,6000円,-,3.9万円,3LDK,60.21m2,https://suumo.jp/chintai/jnc_000061663311/?bc=100336569338
賃貸マンション,ハイツ松ヶ丘,和歌山県和歌山市松ケ丘１,南海本線/和歌山市駅 バス20分 (バス停)松ヶ丘 歩5分,ＪＲ紀勢本線/宮前駅 歩37分,ＪＲ阪和線/和歌山駅 歩58分,築38年,2階建,2階,5.6万円,3000円,-,-,3LDK,56.9m2,https://suumo.jp/chintai/jnc_000075951298/?bc=100333801244
賃貸マンション,ハイツ松ヶ丘,和歌山県和歌山市松ケ丘１,南海本線/和歌山市駅 バス20分 (バス停)松ヶ丘 歩5分,ＪＲ紀勢本線/宮前駅 歩37分,ＪＲ阪和線/和歌山駅 歩58分,築38年,2階建,2階,5.6万円,3000円,-,-,3LDK,56.9m2,https://suumo.jp/chintai/jnc_000075951297/?bc=100345349420
賃貸アパート,ディアス東方,和歌山県和歌山市内原,ＪＲ紀勢本線/紀三井寺駅 バス24分 (バス停)上山病院前 歩5分,ＪＲ紀勢本線/黒江駅 歩26分,ＪＲ紀勢本線/海南駅 歩53分,築32年,2階建,2階,5.5万円,4000円,-,-,2LDK,51m2,https://suumo.jp/chintai/jnc_000085156858/?bc=100294427325
賃貸アパート,ｏｈ ｈａｐｐｙ ｄａｙ,和歌山県和歌山市湊４,ＪＲ紀勢本線/和歌山市駅 バス11分 (バス停)土入橋 歩17分,南海和歌山港線/和歌山港駅 歩28分,南海加太線/東松江駅 歩41分,築9年,2階建,2階,5.6万円,4000円,-,-,1LDK,41.53m2,https://suumo.jp/chintai/jnc_000031159227/?bc=100332674930
賃貸マンション,南砂山ハイツ 萬寿,和歌山県和歌山市砂山南２,ＪＲ紀勢本線/和歌山市駅 バス10分 (バス停)舟津町 歩2分,南海本線/和歌山市駅 歩30分,南海和歌山港線/和歌山港駅 歩20分,築28年,4階建,4階,4.6万円,3000円,4.6万円,-,2DK,47.9m2,https://suumo.jp/chintai/jnc_000050161528/?bc=100340165901
賃貸マンション,ＪＲ阪和線 和歌山駅 3階建 築40年,和歌山県和歌山市西浜,ＪＲ阪和線/和歌山駅 バス36分 (バス停)養翠園前 歩7分,ＪＲ紀勢本線/紀三井寺駅 歩58分,ＪＲ紀勢本線/和歌山市駅 歩70分,築40年,3階建,3階,3.8万円,3000円,-,-,3DK,48m2,https://suumo.jp/chintai/jnc_000084809119/?bc=100316803864
賃貸マンション,ＪＲ阪和線 和歌山駅 3階建 築40年,和歌山県和歌山市西浜,ＪＲ阪和線/和歌山駅 バス36分 (バス停)養翠園前 歩7分,ＪＲ紀勢本線/紀三井寺駅 歩58分,ＪＲ紀勢本線/和歌山市駅 歩70分,築40年,3階建,3階,3.9万円,5000円,-,-,3DK,48m2,https://suumo.jp/chintai/jnc_000084434498/?bc=100336791408
賃貸マンション,ＪＲ阪和線 和歌山駅 3階建 築40年,和歌山県和歌山市西浜,ＪＲ阪和線/和歌山駅 バス36分 (バス停)養翠園前 歩7分,ＪＲ紀勢本線/紀三井寺駅 歩58分,ＪＲ紀勢本線/和歌山市駅 歩70分,築40年,3階建,2階,4.2万円,3000円,-,-,3DK,48m2,https://suumo.jp/chintai/jnc_000084434497/?bc=100339437741
賃貸マンション,ＪＲ阪和線 和歌山駅 3階建 築40年,和歌山県和歌山市西浜,ＪＲ阪和線/和歌山駅 バス36分 (バス停)養翠園前 歩7分,ＪＲ紀勢本線/紀三井寺駅 歩58分,ＪＲ紀勢本線/和歌山市駅 歩70分,築40年,3階建,1階,4.2万円,3000円,-,-,3DK,48m2,https://suumo.jp/chintai/jnc_000084434496/?bc=100336791407
賃貸マンション,マルトミビル,和歌山県和歌山市西小二里３,南海本線/和歌山市駅 バス14分 (バス停)小二里 歩3分,ＪＲ紀勢本線/宮前駅 歩41分,南海和歌山港線/和歌山港駅 歩30分,築31年,5階建,5階,4.5万円,-,-,-,2DK,49.45m2,https://suumo.jp/chintai/jnc_000084378499/?bc=100340165863
賃貸マンション,マルトミビル,和歌山県和歌山市西小二里３,南海本線/和歌山市駅 バス14分 (バス停)小二里 歩3分,ＪＲ紀勢本線/宮前駅 歩41分,南海和歌山港線/和歌山港駅 歩30分,築31年,5階建,4階,4.5万円,-,-,-,2DK,49.45m2,https://suumo.jp/chintai/jnc_000084378497/?bc=100178478471
賃貸マンション,マルトミビル,和歌山県和歌山市西小二里３,南海本線/和歌山市駅 バス14分 (バス停)小二里 歩3分,ＪＲ紀勢本線/宮前駅 歩41分,南海和歌山港線/和歌山港駅 歩30分,築31年,5階建,5階,4.5万円,-,-,-,2DK,47.46m2,https://suumo.jp/chintai/jnc_000084378498/?bc=100269458296
賃貸マンション,マルトミビル,和歌山県和歌山市西小二里３,南海本線/和歌山市駅 バス14分 (バス停)小二里 歩3分,ＪＲ紀勢本線/宮前駅 歩41分,南海和歌山港線/和歌山港駅 歩30分,築31年,5階建,4階,4.5万円,-,-,-,2DK,47.46m2,https://suumo.jp/chintai/jnc_000084378496/?bc=100340165865
賃貸アパート,グラース・シェーネII,和歌山県和歌山市西浜３,南海本線/和歌山市駅 バス16分 (バス停)栗栖 歩5分,ＪＲ紀勢本線/紀三井寺駅 歩43分,ＪＲ紀勢本線/宮前駅 歩51分,築11年,2階建,2階,6.7万円,3000円,6.7万円,6.7万円,2LDK,58.21m2,https://suumo.jp/chintai/jnc_000014561995/?bc=100340674702
賃貸アパート,グラース・シェーネI,和歌山県和歌山市堀止西２,南海本線/和歌山市駅 バス15分 (バス停)車庫前 歩5分,ＪＲ紀勢本線/和歌山市駅 歩40分,わかやま電鉄貴志川線/田中口駅 歩46分,築11年,2階建,1階,6.2万円,3000円,6.2万円,6.2万円,1LDK,45.89m2,https://suumo.jp/chintai/jnc_000064625556/?bc=100313011942
賃貸アパート,グラース・シェーネI,和歌山県和歌山市堀止西２,南海本線/和歌山市駅 バス15分 (バス停)車庫前 歩5分,ＪＲ紀勢本線/和歌山市駅 歩40分,わかやま電鉄貴志川線/田中口駅 歩46分,築11年,2階建,2階,6.7万円,3000円,6.7万円,6.7万円,2LDK,57.07m2,https://suumo.jp/chintai/jnc_000083306323/?bc=100333439328
賃貸アパート,プリシェール関戸,和歌山県和歌山市関戸４,南海本線/和歌山市駅 バス17分 (バス停)長路 歩4分,ＪＲ阪和線/和歌山駅 バス33分 (バス停)長路 歩4分,ＪＲ紀勢本線/紀三井寺駅 歩46分,築28年,2階建,1階,5.6万円,4000円,-,-,3DK,48.56m2,https://suumo.jp/chintai/jnc_000028788109/?bc=100333801247
賃貸アパート,ＲＡＳＩＳ大海,和歌山県和歌山市島,南海本線/和歌山市駅 バス7分 (バス停)河北中学校前 歩1分,,,築25年,2階建,1階,5.9万円,3000円,-,5.9万円,2LDK,62.1m2,https://suumo.jp/chintai/jnc_000084912939/?bc=100344022740
賃貸マンション,サニーハイツ広洋,和歌山県和歌山市湊２,ＪＲ紀勢本線/和歌山市駅 バス9分 (バス停)土入橋 歩13分,南海加太線/東松江駅 歩35分,南海本線/和歌山市駅 歩35分,築36年,2階建,1階,4.5万円,-,-,4.5万円,2DK,40.42m2,https://suumo.jp/chintai/jnc_000084083743/?bc=100338394877
賃貸一戸建て,一戸建０７６９１,和歌山県和歌山市次郎丸,ＪＲ紀勢本線/和歌山市駅 バス16分 (バス停)貴志中 歩6分,南海加太線/東松江駅 歩19分,南海本線/紀ノ川駅 歩29分,築36年,2階建,1-2階,5.8万円,-,-,10万円,4DK,80.32m2,https://suumo.jp/chintai/jnc_000083318497/?bc=100325275243
賃貸アパート,エバンジェル高松Ａ棟,和歌山県和歌山市西高松２,ＪＲ紀勢本線/和歌山市駅 バス18分 (バス停)水軒口 歩3分,ＪＲ紀勢本線/宮前駅 歩35分,ＪＲ阪和線/和歌山駅 バス23分 (バス停)水軒口 歩3分,築29年,2階建,2階,5.5万円,3000円,-,-,3DK,51.07m2,https://suumo.jp/chintai/jnc_000058690701/?bc=100317942119
賃貸マンション,こっとんはうす,和歌山県和歌山市毛見,ＪＲ阪和線/和歌山駅 バス30分 (バス停)競技場前 歩4分,ＪＲ紀勢本線/紀三井寺駅 歩36分,ＪＲ紀勢本線/黒江駅 歩35分,築18年,2階建,1階,4.2万円,4000円,-,-,1K,31.02m2,https://suumo.jp/chintai/jnc_000085135950/?bc=100344135653
賃貸マンション,西浜クレスト,和歌山県和歌山市西浜３,南海本線/和歌山市駅 バス16分 (バス停)西浜 歩5分,ＪＲ阪和線/和歌山駅 歩64分,ＪＲ紀勢本線/紀三井寺駅 歩43分,築35年,3階建,3階,6.2万円,5000円,6.2万円,-,3LDK,79.62m2,https://suumo.jp/chintai/jnc_000082653438/?bc=100329495035
賃貸マンション,西浜クレスト,和歌山県和歌山市西浜３,南海本線/和歌山市駅 バス16分 (バス停)西浜 歩5分,ＪＲ阪和線/和歌山駅 歩64分,ＪＲ紀勢本線/紀三井寺駅 歩43分,築35年,3階建,1-2階,7万円,5000円,7万円,-,3LDK,78.75m2,https://suumo.jp/chintai/jnc_000084800826/?bc=100339402584
賃貸アパート,パレーシャル堀止,和歌山県和歌山市堀止西２,南海本線/和歌山市駅 バス12分 (バス停)堀止 歩4分,ＪＲ紀勢本線/宮前駅 歩27分,ＪＲ阪和線/和歌山駅 バス16分 (バス停)堀止 歩4分,築39年,2階建,2階,4.2万円,3000円,-,-,3DK,51.2m2,https://suumo.jp/chintai/jnc_000076143873/?bc=100293116107
賃貸一戸建て,一戸建００８５５,和歌山県和歌山市和歌浦東２,ＪＲ阪和線/和歌山駅 バス26分 (バス停)和歌浦東停 歩5分,ＪＲ紀勢本線/紀三井寺駅 歩33分,南海本線/和歌山市駅 バス25分 (バス停)和歌浦東停 歩5分,築45年,2階建,2階,3.9万円,-,-,7.8万円,4DK,72m2,https://suumo.jp/chintai/jnc_000080850825/?bc=100319114364
賃貸その他,内原Ｆ様店舗,和歌山県和歌山市内原,和歌山バス/布引南 歩5分,,,築48年,2階建,2階,17.6万円,-,48.05万円,-,ワンルーム,278.53m2,https://suumo.jp/chintai/jnc_000072990256/?bc=100295345087
